id,Nom,Prénom,Age,Taille,Poids,Salaire,Prime Annuelle,catégorie de poids
1,NOM_1,PRENOM_1,39,173.27,73.21,10084.34,1008.4340000000001,Moyen
2,NOM_2,PRENOM_2,37,166.89,54.76,11533.22,1153.322,Lèger
3,NOM_3,PRENOM_3,22,191.06,50.02,10808.93,1080.893,Lèger
4,NOM_4,PRENOM_4,29,193.09,71.94,11697.27,1169.727,Moyen
5,NOM_5,PRENOM_5,36,159.19,52.21,9210.91,921.091,Lèger
6,NOM_6,PRENOM_6,39,172.4,78.27,11190.55,1119.055,Moyen
7,NOM_7,PRENOM_7,42,171.66,79.95,8663.09,866.3090000000001,Moyen
8,NOM_8,PRENOM_8,39,168.05,58.51,11220.31,1122.031,Lèger
9,NOM_9,PRENOM_9,42,182.98,66.85,8793.78,879.3780000000002,Lèger
10,NOM_10,PRENOM_10,38,195.0,56.57,11440.6,1144.0600000000002,Lèger
11,NOM_11,PRENOM_11,42,177.95,60.07,10751.75,1075.175,Lèger
12,NOM_12,PRENOM_12,23,175.97,81.86,8353.77,835.3770000000001,Moyen
13,NOM_13,PRENOM_13,40,199.61,56.66,13260.08,1326.008,Lèger
14,NOM_14,PRENOM_14,30,193.57,84.99,12713.27,1271.3270000000002,Moyen
15,NOM_15,PRENOM_15,26,199.42,63.47,6890.11,689.011,Lèger
16,NOM_16,PRENOM_16,25,193.08,79.61,13497.82,1349.7820000000002,Moyen
17,NOM_17,PRENOM_17,38,196.33,80.44,12365.43,1236.5430000000001,Moyen
18,NOM_18,PRENOM_18,23,199.09,67.61,10882.18,1088.218,Lèger
19,NOM_19,PRENOM_19,42,187.92,52.85,13821.77,1382.1770000000001,Lèger
20,NOM_20,PRENOM_20,41,162.94,54.53,13679.44,1367.9440000000002,Lèger
21,NOM_21,PRENOM_21,42,185.78,81.09,12108.99,1210.8990000000001,Moyen
22,NOM_22,PRENOM_22,34,174.02,51.57,7739.07,773.907,Lèger
23,NOM_23,PRENOM_23,39,173.65,94.09,10845.09,1084.509,Lourd
24,NOM_24,PRENOM_24,22,187.48,63.2,13961.4,1396.14,Lèger
25,NOM_25,PRENOM_25,30,191.85,57.65,10319.34,1031.934,Lèger
26,NOM_26,PRENOM_26,24,156.95,56.99,9951.12,995.1120000000001,Lèger
27,NOM_27,PRENOM_27,38,179.18,56.49,8792.78,879.2780000000001,Lèger
28,NOM_28,PRENOM_28,29,182.27,53.29,10808.14,1080.814,Lèger
29,NOM_29,PRENOM_29,22,151.72,58.71,13147.65,1314.765,Lèger
30,NOM_30,PRENOM_30,25,164.79,62.92,7658.16,765.816,Lèger
31,NOM_31,PRENOM_31,34,199.83,51.34,13267.35,1326.7350000000001,Lèger
32,NOM_32,PRENOM_32,41,187.76,62.04,12746.59,1274.659,Lèger
33,NOM_33,PRENOM_33,36,154.57,61.37,6407.24,640.724,Lèger
34,NOM_34,PRENOM_34,41,157.91,92.43,6923.71,692.3710000000001,Lourd
35,NOM_35,PRENOM_35,30,193.3,68.82,13176.36,1317.6360000000002,Lèger
36,NOM_36,PRENOM_36,37,198.63,81.5,13366.32,1336.632,Moyen
37,NOM_37,PRENOM_37,37,163.38,77.61,8486.32,848.6320000000001,Moyen
38,NOM_38,PRENOM_38,33,159.91,74.42,6104.86,610.486,Moyen
39,NOM_39,PRENOM_39,38,179.57,60.45,10313.38,1031.338,Lèger
40,NOM_40,PRENOM_40,32,154.57,65.57,12614.33,1261.433,Lèger
41,NOM_41,PRENOM_41,37,162.72,60.79,9392.29,939.2290000000002,Lèger
42,NOM_42,PRENOM_42,41,175.32,78.95,10210.35,1021.0350000000001,Moyen
43,NOM_43,PRENOM_43,34,159.68,55.95,6955.83,695.5830000000001,Lèger
44,NOM_44,PRENOM_44,35,169.49,62.46,7487.23,748.723,Lèger
45,NOM_45,PRENOM_45,24,171.63,56.97,13682.8,1368.28,Lèger
46,NOM_46,PRENOM_46,35,154.84,61.52,13268.15,1326.815,Lèger
47,NOM_47,PRENOM_47,29,176.86,90.07,13124.5,1312.45,Lourd
48,NOM_48,PRENOM_48,39,194.11,55.54,6066.4,606.64,Lèger
49,NOM_49,PRENOM_49,27,182.86,88.75,7645.52,764.5520000000001,Moyen
50,NOM_50,PRENOM_50,35,179.81,76.81,6509.12,650.912,Moyen
51,NOM_51,PRENOM_51,26,162.01,63.88,8458.1,845.8100000000001,Lèger
52,NOM_52,PRENOM_52,29,169.55,81.8,12149.44,1214.9440000000002,Moyen
53,NOM_53,PRENOM_53,31,167.81,86.69,6857.21,685.721,Moyen
54,NOM_54,PRENOM_54,23,199.41,86.14,6113.82,611.382,Moyen
55,NOM_55,PRENOM_55,42,156.9,72.74,9696.68,969.6680000000001,Moyen
56,NOM_56,PRENOM_56,32,160.95,88.36,10942.54,1094.2540000000001,Moyen
57,NOM_57,PRENOM_57,38,194.05,73.76,10930.58,1093.058,Moyen
58,NOM_58,PRENOM_58,31,174.33,75.29,7428.0,742.8000000000001,Moyen
59,NOM_59,PRENOM_59,37,195.68,91.99,7863.36,786.336,Lourd
60,NOM_60,PRENOM_60,38,151.11,72.61,9816.12,981.6120000000001,Moyen
61,NOM_61,PRENOM_61,27,154.99,65.94,13208.96,1320.896,Lèger
62,NOM_62,PRENOM_62,30,160.08,77.04,12321.68,1232.1680000000001,Moyen
63,NOM_63,PRENOM_63,25,179.76,83.32,7851.43,785.143,Moyen
64,NOM_64,PRENOM_64,41,187.75,93.17,7051.07,705.107,Lourd
65,NOM_65,PRENOM_65,31,196.97,70.78,8446.06,844.606,Moyen
66,NOM_66,PRENOM_66,42,191.31,57.93,13197.57,1319.757,Lèger
67,NOM_67,PRENOM_67,24,182.28,88.17,6577.65,657.765,Moyen
68,NOM_68,PRENOM_68,29,158.66,51.42,8562.63,856.2629999999999,Lèger
69,NOM_69,PRENOM_69,22,188.48,50.33,8713.68,871.368,Lèger
70,NOM_70,PRENOM_70,25,186.94,91.22,13900.44,1390.044,Lourd
71,NOM_71,PRENOM_71,39,184.63,53.33,12164.73,1216.473,Lèger
72,NOM_72,PRENOM_72,21,182.43,89.15,10098.31,1009.831,Moyen
73,NOM_73,PRENOM_73,37,158.09,91.03,6310.36,631.0360000000001,Lourd
74,NOM_74,PRENOM_74,31,175.6,58.84,6529.49,652.9490000000001,Lèger
