id,Nom,Prénom,Age,Taille,Poids,Salaire
1,Nom_1,Prenom_1,39,173.27,73.21,10084.34
2,Nom_2,Prenom_2,37,166.89,54.76,11533.22
3,Nom_3,Prenom_3,22,191.06,50.02,10808.93
4,Nom_4,Prenom_4,29,193.09,71.94,11697.27
5,Nom_5,Prenom_5,36,159.19,52.21,9210.91
6,Nom_6,Prenom_6,39,172.4,78.27,11190.55
7,Nom_7,Prenom_7,42,171.66,79.95,8663.09
8,Nom_8,Prenom_8,39,168.05,58.51,11220.31
9,Nom_9,Prenom_9,42,182.98,66.85,8793.78
10,Nom_10,Prenom_10,38,195.0,56.57,11440.6
11,Nom_11,Prenom_11,42,177.95,60.07,10751.75
12,Nom_12,Prenom_12,23,175.97,81.86,8353.77
13,Nom_13,Prenom_13,40,199.61,56.66,13260.08
14,Nom_14,Prenom_14,30,193.57,84.99,12713.27
15,Nom_15,Prenom_15,26,199.42,63.47,6890.11
16,Nom_16,Prenom_16,25,193.08,79.61,13497.82
17,Nom_17,Prenom_17,38,196.33,80.44,12365.43
18,Nom_18,Prenom_18,23,199.09,67.61,10882.18
19,Nom_19,Prenom_19,42,187.92,52.85,13821.77
20,Nom_20,Prenom_20,41,162.94,54.53,13679.44
21,Nom_21,Prenom_21,42,185.78,81.09,12108.99
22,Nom_22,Prenom_22,34,174.02,51.57,7739.07
23,Nom_23,Prenom_23,39,173.65,94.09,10845.09
24,Nom_24,Prenom_24,22,187.48,63.2,13961.4
25,Nom_25,Prenom_25,30,191.85,57.65,10319.34
26,Nom_26,Prenom_26,24,156.95,56.99,9951.12
27,Nom_27,Prenom_27,38,179.18,56.49,8792.78
28,Nom_28,Prenom_28,29,182.27,53.29,10808.14
29,Nom_29,Prenom_29,22,151.72,58.71,13147.65
30,Nom_30,Prenom_30,25,164.79,62.92,7658.16
31,Nom_31,Prenom_31,34,199.83,51.34,13267.35
32,Nom_32,Prenom_32,41,187.76,62.04,12746.59
33,Nom_33,Prenom_33,36,154.57,61.37,6407.24
34,Nom_34,Prenom_34,41,157.91,92.43,6923.71
35,Nom_35,Prenom_35,30,193.3,68.82,13176.36
36,Nom_36,Prenom_36,37,198.63,81.5,13366.32
37,Nom_37,Prenom_37,37,163.38,77.61,8486.32
38,Nom_38,Prenom_38,33,159.91,74.42,6104.86
39,Nom_39,Prenom_39,38,179.57,60.45,10313.38
40,Nom_40,Prenom_40,32,154.57,65.57,12614.33
41,Nom_41,Prenom_41,37,162.72,60.79,9392.29
42,Nom_42,Prenom_42,41,175.32,78.95,10210.35
43,Nom_43,Prenom_43,34,159.68,55.95,6955.83
44,Nom_44,Prenom_44,35,169.49,62.46,7487.23
45,Nom_45,Prenom_45,24,171.63,56.97,13682.8
46,Nom_46,Prenom_46,35,154.84,61.52,13268.15
47,Nom_47,Prenom_47,29,176.86,90.07,13124.5
48,Nom_48,Prenom_48,39,194.11,55.54,6066.4
49,Nom_49,Prenom_49,27,182.86,88.75,7645.52
50,Nom_50,Prenom_50,35,179.81,76.81,6509.12
51,Nom_51,Prenom_51,26,162.01,63.88,8458.1
52,Nom_52,Prenom_52,29,169.55,81.8,12149.44
53,Nom_53,Prenom_53,31,167.81,86.69,6857.21
54,Nom_54,Prenom_54,23,199.41,86.14,6113.82
55,Nom_55,Prenom_55,42,156.9,72.74,9696.68
56,Nom_56,Prenom_56,32,160.95,88.36,10942.54
57,Nom_57,Prenom_57,38,194.05,73.76,10930.58
58,Nom_58,Prenom_58,31,174.33,75.29,7428.0
59,Nom_59,Prenom_59,37,195.68,91.99,7863.36
60,Nom_60,Prenom_60,38,151.11,72.61,9816.12
61,Nom_61,Prenom_61,27,154.99,65.94,13208.96
62,Nom_62,Prenom_62,30,160.08,77.04,12321.68
63,Nom_63,Prenom_63,25,179.76,83.32,7851.43
64,Nom_64,Prenom_64,41,187.75,93.17,7051.07
65,Nom_65,Prenom_65,31,196.97,70.78,8446.06
66,Nom_66,Prenom_66,42,191.31,57.93,13197.57
67,Nom_67,Prenom_67,24,182.28,88.17,6577.65
68,Nom_68,Prenom_68,29,158.66,51.42,8562.63
69,Nom_69,Prenom_69,22,188.48,50.33,8713.68
70,Nom_70,Prenom_70,25,186.94,91.22,13900.44
71,Nom_71,Prenom_71,39,184.63,53.33,12164.73
72,Nom_72,Prenom_72,21,182.43,89.15,10098.31
73,Nom_73,Prenom_73,37,158.09,91.03,6310.36
74,Nom_74,Prenom_74,31,175.6,58.84,6529.49
75,Nom_75,Prenom_75,39,169.6,55.55,9179.02
76,Nom_76,Prenom_76,31,164.58,88.39,10810.79
77,Nom_77,Prenom_77,34,157.1,84.69,7049.88
78,Nom_78,Prenom_78,22,192.09,73.1,12894.66
79,Nom_79,Prenom_79,41,195.32,51.27,12255.46
80,Nom_80,Prenom_80,36,169.97,56.61,8937.24
81,Nom_81,Prenom_81,38,196.82,63.63,11066.78
82,Nom_82,Prenom_82,33,155.29,88.8,9805.62
83,Nom_83,Prenom_83,40,174.33,94.46,9865.94
84,Nom_84,Prenom_84,37,177.39,84.92,10507.63
85,Nom_85,Prenom_85,27,180.82,78.04,9261.71
86,Nom_86,Prenom_86,39,159.46,57.11,7195.01
87,Nom_87,Prenom_87,31,171.38,66.22,10539.85
88,Nom_88,Prenom_88,33,173.85,52.17,8132.96
89,Nom_89,Prenom_89,34,166.84,84.08,8265.2
90,Nom_90,Prenom_90,29,199.95,85.89,11599.1
91,Nom_91,Prenom_91,29,197.79,64.76,7796.82
92,Nom_92,Prenom_92,21,184.83,81.18,10367.84
93,Nom_93,Prenom_93,41,189.37,91.09,7523.8
94,Nom_94,Prenom_94,22,168.4,65.93,7313.76
95,Nom_95,Prenom_95,39,153.12,57.18,12550.66
96,Nom_96,Prenom_96,33,195.09,78.62,13651.54
97,Nom_97,Prenom_97,40,162.62,67.99,7471.63
98,Nom_98,Prenom_98,41,171.32,89.29,13830.84
99,Nom_99,Prenom_99,22,150.47,64.66,6481.02
100,Nom_100,Prenom_100,26,165.93,51.96,9545.54
101,Nom_101,Prenom_101,37,156.9,75.5,8541.85
102,Nom_102,Prenom_102,37,170.3,52.51,6736.51
103,Nom_103,Prenom_103,40,153.42,83.29,12157.04
104,Nom_104,Prenom_104,28,159.03,77.88,7795.87
105,Nom_105,Prenom_105,31,186.13,92.81,6464.58
106,Nom_106,Prenom_106,42,169.74,80.77,8480.54
107,Nom_107,Prenom_107,40,153.2,83.12,13111.57
108,Nom_108,Prenom_108,25,173.03,61.05,11538.53
109,Nom_109,Prenom_109,30,190.33,83.24,12667.26
110,Nom_110,Prenom_110,40,184.95,94.17,13736.02
111,Nom_111,Prenom_111,41,176.15,90.03,10671.69
112,Nom_112,Prenom_112,35,156.5,74.29,7365.07
113,Nom_113,Prenom_113,33,198.75,50.1,9614.79
114,Nom_114,Prenom_114,32,166.23,60.67,12616.42
115,Nom_115,Prenom_115,37,182.36,91.35,11613.47
116,Nom_116,Prenom_116,37,180.07,56.71,12054.18
117,Nom_117,Prenom_117,22,185.79,59.64,12289.83
118,Nom_118,Prenom_118,39,171.45,69.19,13630.96
119,Nom_119,Prenom_119,29,163.63,85.65,7292.84
120,Nom_120,Prenom_120,25,192.69,58.87,10260.9
121,Nom_121,Prenom_121,26,170.65,82.28,13087.53
122,Nom_122,Prenom_122,36,150.52,71.92,9446.92
123,Nom_123,Prenom_123,36,196.79,83.38,10607.76
124,Nom_124,Prenom_124,42,181.99,64.24,12605.63
125,Nom_125,Prenom_125,28,181.97,52.55,11625.91
126,Nom_126,Prenom_126,30,181.93,57.59,12933.94
127,Nom_127,Prenom_127,23,166.61,84.5,12519.91
128,Nom_128,Prenom_128,31,171.08,75.75,10392.16
129,Nom_129,Prenom_129,27,153.61,66.99,9629.42
130,Nom_130,Prenom_130,32,188.82,59.73,12133.97
131,Nom_131,Prenom_131,34,197.54,75.53,12742.26
132,Nom_132,Prenom_132,25,176.13,86.62,8603.91
133,Nom_133,Prenom_133,38,194.85,74.83,6817.98
134,Nom_134,Prenom_134,24,194.28,75.52,7231.66
135,Nom_135,Prenom_135,21,159.04,91.74,8821.33
136,Nom_136,Prenom_136,30,181.73,87.22,11478.81
137,Nom_137,Prenom_137,42,179.57,88.28,7900.85
138,Nom_138,Prenom_138,29,174.78,66.93,12375.77
139,Nom_139,Prenom_139,37,162.98,65.54,7091.94
140,Nom_140,Prenom_140,33,160.16,88.68,8883.97
141,Nom_141,Prenom_141,31,194.55,73.34,10926.2
142,Nom_142,Prenom_142,24,159.65,59.1,9359.74
143,Nom_143,Prenom_143,25,157.73,80.38,13673.51
144,Nom_144,Prenom_144,37,175.42,53.49,10102.94
145,Nom_145,Prenom_145,37,160.17,84.09,8787.84
146,Nom_146,Prenom_146,38,160.32,74.23,10339.25
147,Nom_147,Prenom_147,22,181.65,85.05,8151.0
148,Nom_148,Prenom_148,22,186.32,69.52,8393.77
149,Nom_149,Prenom_149,29,180.03,73.83,6515.62
150,Nom_150,Prenom_150,36,156.1,80.57,10831.3
151,Nom_151,Prenom_151,39,195.2,78.85,9479.96
152,Nom_152,Prenom_152,32,154.24,51.67,12152.9
153,Nom_153,Prenom_153,36,193.98,82.16,9400.27
154,Nom_154,Prenom_154,31,154.13,66.28,12772.97
155,Nom_155,Prenom_155,24,162.84,93.73,12509.76
156,Nom_156,Prenom_156,30,192.22,56.37,8836.98
157,Nom_157,Prenom_157,27,185.59,88.86,13207.45
158,Nom_158,Prenom_158,42,160.16,64.09,8772.56
159,Nom_159,Prenom_159,37,163.15,66.06,13646.87
160,Nom_160,Prenom_160,32,152.91,64.76,8768.44
161,Nom_161,Prenom_161,33,157.5,62.77,8591.28
162,Nom_162,Prenom_162,35,196.64,67.6,9834.29
163,Nom_163,Prenom_163,39,177.89,80.94,12253.1
164,Nom_164,Prenom_164,21,190.53,78.7,9452.77
165,Nom_165,Prenom_165,21,182.62,83.58,7847.93
166,Nom_166,Prenom_166,32,176.54,77.57,7039.26
167,Nom_167,Prenom_167,30,191.62,86.28,11118.83
168,Nom_168,Prenom_168,42,171.95,62.11,7523.72
169,Nom_169,Prenom_169,22,165.92,79.4,12400.47
170,Nom_170,Prenom_170,36,154.59,55.55,10058.58
171,Nom_171,Prenom_171,31,194.23,50.21,11179.22
172,Nom_172,Prenom_172,31,167.53,67.37,6470.36
173,Nom_173,Prenom_173,29,176.22,71.28,7224.58
174,Nom_174,Prenom_174,30,159.13,79.69,10421.06
175,Nom_175,Prenom_175,27,170.66,66.61,11180.57
176,Nom_176,Prenom_176,39,179.84,76.72,10537.64
177,Nom_177,Prenom_177,39,158.97,64.7,12437.65
178,Nom_178,Prenom_178,38,176.71,51.43,7264.76
179,Nom_179,Prenom_179,23,163.31,58.23,6454.81
180,Nom_180,Prenom_180,35,162.14,56.54,12843.45
181,Nom_181,Prenom_181,37,183.32,51.57,12677.47
182,Nom_182,Prenom_182,25,181.55,87.07,10794.4
183,Nom_183,Prenom_183,38,191.21,74.75,13971.41
184,Nom_184,Prenom_184,21,183.64,71.86,13826.23
185,Nom_185,Prenom_185,33,191.37,85.37,11965.24
186,Nom_186,Prenom_186,38,199.07,76.52,8062.65
187,Nom_187,Prenom_187,40,160.02,51.89,12556.05
188,Nom_188,Prenom_188,22,193.06,69.7,7516.34
189,Nom_189,Prenom_189,34,174.74,92.35,8517.77
190,Nom_190,Prenom_190,35,191.84,93.63,8744.05
191,Nom_191,Prenom_191,24,160.15,72.81,13836.69
192,Nom_192,Prenom_192,26,161.14,87.31,8315.18
193,Nom_193,Prenom_193,22,196.79,80.41,9327.37
194,Nom_194,Prenom_194,26,189.17,60.63,11142.19
195,Nom_195,Prenom_195,27,199.18,77.09,6618.41
196,Nom_196,Prenom_196,26,197.26,90.36,6314.36
197,Nom_197,Prenom_197,41,195.94,87.39,8883.87
198,Nom_198,Prenom_198,39,162.48,64.64,9246.19
199,Nom_199,Prenom_199,35,183.41,72.57,13670.95
200,Nom_200,Prenom_200,25,168.32,72.38,10930.18
201,Nom_201,Prenom_201,41,195.22,75.21,9852.95
202,Nom_202,Prenom_202,34,172.41,86.8,6842.93
203,Nom_203,Prenom_203,29,182.25,53.1,13550.55
204,Nom_204,Prenom_204,34,156.25,70.93,9666.18
205,Nom_205,Prenom_205,28,156.44,92.1,13577.02
206,Nom_206,Prenom_206,33,186.19,61.68,10261.4
207,Nom_207,Prenom_207,27,183.21,85.72,12547.41
208,Nom_208,Prenom_208,32,150.98,78.4,9123.17
209,Nom_209,Prenom_209,29,172.3,82.11,7705.82
210,Nom_210,Prenom_210,23,172.26,76.32,13017.16
211,Nom_211,Prenom_211,42,190.7,94.04,11478.23
212,Nom_212,Prenom_212,41,158.5,80.11,8077.37
213,Nom_213,Prenom_213,31,192.59,68.95,13731.63
214,Nom_214,Prenom_214,24,161.86,86.06,7902.09
215,Nom_215,Prenom_215,41,167.24,88.2,9794.79
